BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10,BC11,BC12,edits,Replicate
0,0,0,0,1,0,0,0,0,0,0,0,1,Rep1
0,0,1,0,0,0,0,0,0,0,0,0,1,Rep1
1,0,0,0,0,0,0,0,0,0,0,0,1,Rep1
0,1,0,0,0,0,0,0,0,0,0,0,1,Rep3
0,0,0,0,0,0,0,0,0,1,0,0,1,Rep1
0,0,0,0,0,0,1,0,0,0,0,0,1,Rep3
0,0,1,0,0,0,0,0,0,0,0,0,1,Rep3
0,0,0,0,0,1,0,0,0,0,0,0,1,Rep1
1,0,0,0,0,0,0,0,0,0,0,0,1,Rep1
0,1,0,0,0,0,0,0,0,0,0,0,1,Rep3
0,1,0,0,0,0,0,0,0,0,0,0,1,Rep1
0,0,1,0,0,0,0,0,0,0,0,0,1,Rep3
1,0,0,0,0,0,0,0,0,0,0,0,1,Rep1
0,0,0,0,0,0,0,0,0,1,0,0,1,Rep1
1,0,0,0,0,0,0,0,0,0,0,0,1,Rep3
0,0,0,0,1,0,1,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,0,0,0,0,1,1,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,1,0,0,0,0,1,0,0,2,Rep3
0,0,1,0,0,0,0,1,0,0,0,0,2,Rep2
0,1,0,0,0,1,0,0,0,0,0,0,2,Rep2
1,0,0,0,0,0,0,0,0,0,0,1,2,Rep3
0,0,0,1,0,0,0,0,0,1,0,0,2,Rep2
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep2
0,1,0,1,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,0,0,0,1,0,1,2,Rep2
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,0,1,1,0,0,0,2,Rep3
0,1,0,1,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,1,0,0,0,0,0,0,0,2,Rep2
0,1,0,0,0,0,0,1,0,0,0,0,2,Rep2
0,1,0,1,0,0,0,0,0,0,0,0,2,Rep3
1,0,0,0,0,0,1,0,0,0,0,0,2,Rep2
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep1
0,1,0,1,0,0,0,0,0,0,0,0,2,Rep3
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep2
0,0,0,0,1,0,0,0,0,0,0,1,2,Rep2
1,0,0,0,0,0,0,0,0,0,1,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep1
0,0,0,1,0,0,0,1,0,0,0,0,2,Rep3
0,0,0,0,1,0,0,0,0,1,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,1,1,0,0,0,0,2,Rep3
0,0,0,0,0,0,1,0,1,0,0,0,2,Rep2
0,0,0,1,1,0,0,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,0,1,0,1,0,0,2,Rep1
0,0,0,0,1,0,0,0,0,0,1,0,2,Rep2
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,0,1,0,1,0,0,2,Rep2
1,0,0,1,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,0,0,0,0,0,1,0,0,2,Rep2
1,0,0,0,1,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,0,0,0,1,1,0,2,Rep2
1,0,0,0,0,0,1,0,0,0,0,0,2,Rep1
1,0,0,0,0,0,0,0,0,0,0,1,2,Rep2
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep1
0,1,0,0,0,1,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,0,1,1,0,0,0,2,Rep2
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep2
1,0,0,1,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,1,0,1,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,0,1,0,1,0,0,2,Rep1
0,0,1,0,0,0,0,1,0,0,0,0,2,Rep1
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep3
0,0,0,0,0,0,0,1,0,0,1,0,2,Rep2
0,1,0,0,0,1,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,1,1,0,0,0,0,2,Rep2
0,0,1,1,0,0,0,0,0,0,0,0,2,Rep2
0,0,1,0,0,0,0,0,1,0,0,0,2,Rep1
0,1,0,0,0,0,0,0,0,1,0,0,2,Rep2
1,0,0,0,0,0,0,0,0,1,0,0,2,Rep2
0,0,1,0,0,0,0,0,0,0,1,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep2
0,0,0,1,1,0,0,0,0,0,0,0,2,Rep2
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep2
0,0,0,0,1,0,0,1,0,0,0,0,2,Rep2
1,0,0,0,0,1,0,0,0,0,0,0,2,Rep3
1,0,0,0,0,0,0,0,0,0,0,1,2,Rep3
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep2
0,1,0,0,0,0,0,0,0,1,0,0,2,Rep3
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep2
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep2
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep2
0,0,0,1,0,1,0,0,0,0,0,0,2,Rep2
0,1,0,0,0,0,0,1,0,0,0,0,2,Rep2
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,0,1,0,1,0,0,2,Rep2
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep2
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep3
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,1,0,0,0,0,0,1,0,2,Rep1
0,0,0,0,0,0,0,0,1,1,0,0,2,Rep2
0,0,0,0,0,1,1,0,0,0,0,0,2,Rep2
0,0,1,0,0,0,0,0,0,0,1,0,2,Rep2
0,0,0,0,0,0,0,1,0,1,0,0,2,Rep2
0,0,1,1,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,1,0,1,0,0,0,0,2,Rep3
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,1,0,0,1,0,0,2,Rep1
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep2
0,0,0,1,0,0,0,0,0,0,0,1,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,1,0,0,0,0,1,0,0,2,Rep2
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep2
0,1,0,1,0,0,0,0,0,0,0,0,2,Rep2
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,1,0,0,0,0,0,0,0,1,0,0,2,Rep1
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
1,0,1,0,0,0,0,0,0,0,0,0,2,Rep3
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,1,0,0,1,0,0,0,2,Rep2
0,1,0,0,0,0,0,1,0,0,0,0,2,Rep1
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,0,0,1,0,0,0,0,1,0,0,2,Rep2
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep3
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep3
0,0,1,0,0,0,0,1,0,0,0,0,2,Rep2
1,0,0,0,0,0,1,0,0,0,0,0,2,Rep3
1,0,0,0,0,0,0,0,0,0,0,1,2,Rep1
1,0,0,0,0,1,0,0,0,0,0,0,2,Rep2
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep2
0,0,0,0,1,0,1,0,0,0,0,0,2,Rep2
0,1,0,0,0,0,0,0,1,0,0,0,2,Rep2
0,0,0,0,0,1,0,1,0,0,0,0,2,Rep2
0,0,1,0,0,0,0,0,0,1,0,0,2,Rep3
1,0,0,0,0,0,0,0,0,0,0,1,2,Rep3
0,1,0,0,0,1,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,1,0,0,0,0,1,2,Rep3
0,0,0,0,0,0,1,0,0,0,0,1,2,Rep1
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep1
1,0,0,0,1,0,0,0,0,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,0,0,1,0,1,0,0,0,0,0,2,Rep3
1,0,0,0,0,1,0,0,0,0,0,0,2,Rep1
0,0,1,0,0,0,1,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep3
1,0,0,0,0,0,0,0,1,0,0,0,2,Rep1
0,0,1,0,0,0,0,0,0,0,0,1,2,Rep1
1,0,0,1,0,0,0,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
0,1,0,0,0,0,0,0,1,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,1,0,0,0,0,0,0,0,2,Rep1
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep1
0,0,1,1,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep3
0,0,0,0,0,0,0,0,0,0,1,1,2,Rep1
0,1,0,0,0,0,0,0,0,1,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,1,0,0,0,1,0,0,0,0,0,0,2,Rep1
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep3
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep3
0,1,0,0,0,0,0,0,1,0,0,0,2,Rep3
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep1
0,0,1,1,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep1
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,1,1,0,0,0,0,2,Rep3
0,0,1,0,0,0,0,0,0,0,1,0,2,Rep1
0,0,0,0,0,1,1,0,0,0,0,0,2,Rep3
0,0,1,0,0,0,0,0,1,0,0,0,2,Rep1
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep3
0,0,0,0,0,0,1,1,0,0,0,0,2,Rep1
0,0,0,1,0,0,0,0,0,0,1,0,2,Rep3
0,0,0,0,0,0,0,0,1,0,0,1,2,Rep3
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep3
1,0,0,0,0,1,0,0,0,0,0,0,2,Rep3
0,1,0,0,0,0,0,0,1,0,0,0,2,Rep3
1,0,0,0,0,0,1,0,0,0,0,0,2,Rep1
0,1,0,0,0,0,0,0,0,0,0,1,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
1,0,0,0,0,0,0,0,0,0,1,0,2,Rep1
1,0,0,1,0,0,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,0,0,0,1,1,0,2,Rep3
0,0,0,0,0,0,1,0,0,1,0,0,2,Rep1
0,0,0,0,1,0,1,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
1,0,0,0,0,0,1,0,0,0,0,0,2,Rep1
0,1,0,0,0,1,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,1,1,0,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep3
1,0,0,1,0,0,0,0,0,0,0,0,2,Rep3
0,0,0,0,0,0,0,1,0,1,0,0,2,Rep1
0,0,0,0,0,0,0,0,0,0,1,1,2,Rep1
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,1,0,0,0,0,0,1,0,0,0,0,2,Rep1
0,1,0,0,0,0,0,0,0,1,0,0,2,Rep1
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep3
0,1,0,0,0,1,0,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,1,0,1,0,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,0,0,0,0,1,1,2,Rep3
0,0,0,0,0,0,0,0,0,1,1,0,2,Rep3
0,0,0,0,0,1,0,0,0,0,0,1,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep3
0,0,0,0,1,0,0,0,0,1,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,0,0,0,0,0,0,1,0,2,Rep3
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep1
0,1,0,0,0,0,0,0,1,0,0,0,2,Rep3
0,0,0,0,0,0,0,1,1,0,0,0,2,Rep3
0,0,0,1,1,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep3
1,0,1,0,0,0,0,0,0,0,0,0,2,Rep1
1,0,1,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,1,0,0,0,0,0,0,0,2,Rep3
0,0,0,0,0,0,0,0,0,0,1,1,2,Rep1
0,0,0,0,0,0,1,1,0,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep3
0,0,0,1,0,0,0,0,0,1,0,0,2,Rep3
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep2
1,0,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,1,0,0,0,0,0,1,0,0,0,0,2,Rep3
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep1
0,1,0,1,0,0,0,0,0,0,0,0,2,Rep2
0,0,1,0,0,0,0,1,0,0,0,0,2,Rep1
0,0,0,1,0,0,0,1,0,0,0,0,2,Rep2
0,1,0,0,0,0,0,0,0,1,0,0,2,Rep3
0,0,0,0,0,0,0,0,0,1,0,1,2,Rep3
1,0,0,1,0,0,0,0,0,0,0,0,2,Rep2
1,0,0,0,0,0,0,0,1,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep2
0,1,0,0,0,0,1,0,0,0,0,0,2,Rep1
1,0,0,0,1,0,0,0,0,0,0,0,2,Rep2
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,0,0,0,0,1,1,2,Rep2
0,1,0,0,1,0,0,0,0,0,0,0,2,Rep1
0,0,0,1,1,0,0,0,0,0,0,0,2,Rep1
0,1,0,0,0,0,0,0,0,1,0,0,2,Rep3
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep3
0,1,0,0,0,0,0,0,0,0,0,1,2,Rep2
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,1,0,0,0,0,0,0,1,0,0,2,Rep2
0,0,0,0,1,1,0,0,0,0,0,0,2,Rep1
0,0,0,0,0,0,0,0,1,0,0,1,2,Rep2
0,0,0,1,0,1,0,0,0,0,0,0,2,Rep1
0,1,0,0,0,0,1,0,0,0,0,0,2,Rep3
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep3
0,0,0,0,1,0,0,0,0,1,0,0,2,Rep3
0,1,0,0,0,0,1,0,0,0,0,0,2,Rep1
0,1,1,0,0,0,0,0,0,0,0,0,2,Rep1
1,0,0,0,0,0,0,1,0,0,0,0,2,Rep3
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep2
0,0,1,0,0,1,0,0,0,0,0,0,2,Rep2
0,0,0,0,0,0,0,0,1,0,1,0,2,Rep3
1,0,0,0,1,0,0,0,0,0,0,0,2,Rep1
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep1
0,0,0,0,1,0,1,0,0,0,0,0,2,Rep3
1,0,1,0,0,0,0,0,0,0,0,0,2,Rep3
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep3
0,0,0,1,0,1,0,0,0,0,0,0,2,Rep2
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep2
1,1,0,0,0,0,0,0,0,0,0,0,2,Rep3
0,0,0,0,1,0,0,0,0,0,1,0,2,Rep2
0,0,0,1,0,1,0,0,0,0,0,0,2,Rep3
0,0,1,0,0,0,1,0,0,0,0,0,2,Rep2
0,0,0,0,0,1,0,0,0,0,1,0,2,Rep2
0,0,0,0,1,0,0,0,1,0,0,0,2,Rep2
0,0,1,0,1,1,0,0,0,0,0,0,3,Rep2
1,0,0,0,0,0,0,1,0,1,0,0,3,Rep3
1,1,0,1,0,0,0,0,0,0,0,0,3,Rep2
1,1,0,0,1,0,0,0,0,0,0,0,3,Rep2
0,1,1,0,0,0,0,0,0,0,1,0,3,Rep2
1,1,0,0,0,1,0,0,0,0,0,0,3,Rep3
1,0,1,0,0,1,0,0,0,0,0,0,3,Rep2
0,1,0,0,1,0,1,0,0,0,0,0,3,Rep3
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
1,1,0,0,0,0,0,0,0,1,0,0,3,Rep3
1,0,0,0,0,1,0,0,0,0,1,0,3,Rep3
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
0,1,1,0,0,1,0,0,0,0,0,0,3,Rep3
0,1,1,0,0,0,0,1,0,0,0,0,3,Rep3
0,0,0,0,1,0,1,1,0,0,0,0,3,Rep3
1,1,0,1,0,0,0,0,0,0,0,0,3,Rep2
0,0,0,1,1,1,0,0,0,0,0,0,3,Rep3
0,1,0,1,0,0,0,0,0,0,0,1,3,Rep3
0,1,0,0,0,0,0,1,0,1,0,0,3,Rep2
0,0,1,1,0,0,0,1,0,0,0,0,3,Rep3
0,1,0,0,0,1,0,0,0,1,0,0,3,Rep2
1,0,0,0,0,1,1,0,0,0,0,0,3,Rep3
0,0,0,0,0,0,0,0,1,1,1,0,3,Rep2
1,0,1,0,0,1,0,0,0,0,0,0,3,Rep2
0,1,0,0,0,0,1,0,1,0,0,0,3,Rep3
1,0,0,0,1,0,0,0,0,1,0,0,3,Rep2
0,0,0,0,0,1,1,0,0,0,1,0,3,Rep2
1,0,0,0,1,1,0,0,0,0,0,0,3,Rep2
0,0,0,0,0,0,0,0,1,1,0,1,3,Rep3
1,0,0,1,0,1,0,0,0,0,0,0,3,Rep2
1,0,0,0,1,1,0,0,0,0,0,0,3,Rep2
0,0,1,0,0,1,1,0,0,0,0,0,3,Rep3
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
0,0,0,0,0,1,1,1,0,0,0,0,3,Rep3
1,0,0,0,1,0,0,0,0,1,0,0,3,Rep3
0,0,0,1,1,0,0,1,0,0,0,0,3,Rep3
0,0,1,1,0,0,0,0,0,0,1,0,3,Rep3
1,0,0,0,1,1,0,0,0,0,0,0,3,Rep2
0,0,0,0,1,0,0,0,0,0,1,1,3,Rep3
0,1,1,1,0,0,0,0,0,0,0,0,3,Rep3
0,1,1,1,0,0,0,0,0,0,0,0,3,Rep3
1,0,1,1,0,0,0,0,0,0,0,0,3,Rep3
1,0,0,0,0,0,0,0,0,1,0,1,3,Rep3
0,1,0,0,0,0,0,1,0,0,1,0,3,Rep2
0,0,0,0,1,1,1,0,0,0,0,0,3,Rep3
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
0,1,0,0,0,1,0,0,0,1,0,0,3,Rep3
0,0,0,1,1,0,0,1,0,0,0,0,3,Rep2
1,1,0,0,0,0,0,0,1,0,0,0,3,Rep3
0,1,1,0,0,0,0,0,1,0,0,0,3,Rep2
0,1,1,0,0,0,0,0,1,0,0,0,3,Rep3
1,1,0,0,0,0,1,0,0,0,0,0,3,Rep3
0,0,0,0,0,1,0,0,0,1,1,0,3,Rep3
0,0,0,0,0,0,1,0,1,0,0,1,3,Rep3
0,1,0,0,0,1,0,0,0,1,0,0,3,Rep3
0,1,0,1,0,1,0,0,0,0,0,0,3,Rep3
0,0,1,1,1,0,0,0,0,0,0,0,3,Rep2
0,0,0,0,0,0,0,1,1,1,0,0,3,Rep3
0,0,1,1,1,0,0,0,0,0,0,0,3,Rep2
0,0,0,0,1,1,0,0,0,1,0,0,3,Rep3
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
0,0,0,1,1,0,0,1,0,0,0,0,3,Rep2
1,1,0,0,0,1,0,0,0,0,0,0,3,Rep3
1,0,0,1,1,0,0,0,0,0,0,0,3,Rep3
0,1,0,1,1,0,0,0,0,0,0,0,3,Rep3
0,1,0,0,0,1,0,1,0,0,0,0,3,Rep3
1,0,0,0,0,0,1,1,0,0,0,0,3,Rep3
0,0,0,1,0,0,1,0,0,0,0,1,3,Rep3
1,1,0,0,1,0,0,0,0,0,0,0,3,Rep2
0,0,1,1,1,0,0,0,0,0,0,0,3,Rep3
0,0,0,0,0,1,0,0,0,1,1,0,3,Rep3
0,0,0,0,0,0,0,0,0,1,1,1,3,Rep2
0,0,0,0,0,0,0,1,0,1,0,1,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep3
0,0,0,0,1,1,0,0,0,0,1,0,3,Rep3
1,0,1,0,1,0,0,0,0,0,0,0,3,Rep2
0,1,0,0,0,0,0,1,0,1,0,0,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
0,0,0,0,1,1,0,0,0,0,1,0,3,Rep3
1,1,0,0,1,0,0,0,0,0,0,0,3,Rep2
1,0,0,0,1,1,0,0,0,0,0,0,3,Rep2
0,0,1,0,0,1,0,0,1,0,0,0,3,Rep3
1,1,0,0,0,0,0,0,0,0,1,0,3,Rep3
0,0,0,0,1,1,0,0,0,0,1,0,3,Rep2
1,0,0,0,0,1,0,0,1,0,0,0,3,Rep3
1,0,0,0,0,0,0,0,0,0,1,1,3,Rep2
0,0,0,0,1,0,1,0,0,1,0,0,3,Rep3
0,0,1,0,0,0,1,0,0,0,1,0,3,Rep3
0,1,1,1,0,0,0,0,0,0,0,0,3,Rep3
0,1,1,0,0,0,1,0,0,0,0,0,3,Rep3
1,1,0,0,0,0,0,0,0,0,1,0,3,Rep3
0,1,0,0,1,1,0,0,0,0,0,0,3,Rep2
1,0,1,0,0,0,0,1,0,0,0,0,3,Rep2
1,0,1,1,0,0,0,0,0,0,0,0,3,Rep3
0,1,1,0,0,0,0,0,1,0,0,0,3,Rep1
0,1,1,1,0,0,0,0,0,0,0,0,3,Rep2
1,0,0,1,0,0,1,0,0,0,0,0,3,Rep1
0,1,0,0,0,0,0,0,0,1,1,0,3,Rep1
1,1,0,0,0,0,0,0,1,0,0,0,3,Rep1
0,1,1,1,0,0,0,0,0,0,0,0,3,Rep1
0,0,1,0,0,0,0,1,0,1,0,0,3,Rep1
0,1,0,1,0,0,0,0,1,0,0,0,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep1
0,0,1,1,0,0,0,0,0,0,0,1,3,Rep2
0,1,1,0,0,1,0,0,0,0,0,0,3,Rep1
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep1
0,0,0,1,0,0,0,0,0,1,1,0,3,Rep1
0,0,1,0,0,0,1,0,0,1,0,0,3,Rep2
0,0,0,0,0,1,1,0,1,0,0,0,3,Rep2
1,0,1,0,1,0,0,0,0,0,0,0,3,Rep1
0,1,1,1,0,0,0,0,0,0,0,0,3,Rep2
0,1,0,0,0,0,0,0,0,0,1,1,3,Rep1
1,1,0,0,0,0,1,0,0,0,0,0,3,Rep1
1,1,0,1,0,0,0,0,0,0,0,0,3,Rep1
0,1,0,0,1,0,1,0,0,0,0,0,3,Rep2
0,1,1,0,0,1,0,0,0,0,0,0,3,Rep1
1,1,0,0,0,1,0,0,0,0,0,0,3,Rep2
0,1,1,0,0,1,0,0,0,0,0,0,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep1
0,0,0,0,0,0,0,1,0,1,1,0,3,Rep2
0,1,0,0,0,0,0,0,0,0,1,1,3,Rep1
0,0,0,0,1,1,0,1,0,0,0,0,3,Rep2
0,0,0,0,0,0,0,0,0,1,1,1,3,Rep2
1,0,0,0,0,1,1,0,0,0,0,0,3,Rep1
0,0,1,0,1,1,0,0,0,0,0,0,3,Rep2
0,0,0,0,1,1,0,1,0,0,0,0,3,Rep2
1,0,0,1,0,1,0,0,0,0,0,0,3,Rep1
0,1,0,0,1,1,0,0,0,0,0,0,3,Rep1
0,0,1,0,0,0,0,0,0,1,0,1,3,Rep1
0,0,0,0,1,1,0,0,0,0,0,1,3,Rep1
0,1,1,0,1,0,0,0,0,0,0,0,3,Rep2
1,1,0,0,0,0,0,0,1,0,0,0,3,Rep2
1,0,1,0,0,0,0,0,0,0,0,1,3,Rep1
0,0,0,0,1,1,0,1,0,0,0,0,3,Rep2
0,1,1,0,1,0,0,0,0,0,0,0,3,Rep1
1,1,0,0,0,0,0,0,0,0,0,1,3,Rep1
0,1,0,0,1,0,0,0,0,1,0,0,3,Rep1
1,0,1,1,0,0,0,0,0,0,0,0,3,Rep1
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
1,0,1,0,1,0,0,0,0,0,0,0,3,Rep1
0,1,0,0,0,0,0,0,0,0,1,1,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep1
1,1,0,0,0,0,1,0,0,0,0,0,3,Rep1
0,0,0,1,1,1,0,0,0,0,0,0,3,Rep1
0,1,1,0,1,0,0,0,0,0,0,0,3,Rep2
0,1,1,0,0,0,1,0,0,0,0,0,3,Rep1
0,0,1,1,0,0,0,1,0,0,0,0,3,Rep1
1,0,0,0,0,1,0,0,0,0,1,0,3,Rep1
0,0,0,0,0,1,1,1,0,0,0,0,3,Rep2
1,0,0,0,0,0,1,0,0,0,1,0,3,Rep2
1,1,0,0,1,0,0,0,0,0,0,0,3,Rep1
1,1,0,0,1,0,0,0,0,0,0,0,3,Rep1
0,0,1,0,1,0,0,0,0,0,1,0,3,Rep1
0,0,1,0,0,1,0,0,0,1,0,0,3,Rep1
0,0,1,1,0,0,0,0,1,0,0,0,3,Rep1
0,1,0,0,0,1,0,1,0,0,0,0,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep1
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep2
0,0,0,1,0,0,1,0,0,1,0,0,3,Rep2
1,0,1,0,0,1,0,0,0,0,0,0,3,Rep1
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep1
1,0,0,0,0,0,0,0,0,1,1,0,3,Rep1
0,0,1,1,0,0,0,0,0,0,0,1,3,Rep1
0,1,0,0,0,0,0,1,0,1,0,0,3,Rep1
1,0,0,1,0,1,0,0,0,0,0,0,3,Rep2
0,1,1,0,0,0,0,0,1,0,0,0,3,Rep1
0,1,1,0,1,0,0,0,0,0,0,0,3,Rep2
1,1,1,0,0,0,0,0,0,0,0,0,3,Rep1
0,0,1,0,0,0,0,0,0,1,1,0,3,Rep1
0,0,1,0,1,0,0,1,0,0,0,0,3,Rep1
